AreaSQFT,BuildingType,Trade,Complexity,Days
93744,College / University,Lighting,6,4.44
93744,College / University,Power,6,11.35
94892,School,Mech. Pipe,6,10.37
245000,School,Telecomm,6,7.90
342000,School,AV /Wireless,6,4.94
17800,Government,Lighting,6,1.97
124000,School,Mech. Duct,6,23.20
124000,School,Fire Alarm,6,2.96
166506,School,Mech. Duct,6,27.64
25260,Military,Mech. Duct,6,5.92
25260,Military,Lighting,6,2.47
87410,School,AV /Wireless,6,2.47
69500,School,Power,6,9.87
40000,Office Building,AV /Wireless,6,1.97
154000,School,Power,6,14.31
154000,School,Power,6,14.31
70000,School,Power,6,10.24
77985,College / University,Telecomm,6.5,4.14
44000,School,Sanitary & Storm,6.5,10.72
120000,Healthcare,Fire Alarm,6.5,2.92
120000,Healthcare,Telecomm,6.5,8.28
25000,College / University,Mech. Duct,6.5,7.31
25000,College / University,Domestic water,6.5,3.90
28321,Transport,Domestic water,6.5,4.39
184532,Military,Mech. Duct,6.5,42.49
343900,Healthcare,AV /Wireless,6.5,13.16
40000,Healthcare,Sanitary & Storm,6.5,9.74
1344292,Residential,Telecomm,6.5,7.80
72000,Other Commercial,Mech. Pipe,6.5,8.04
95000,Residential,Lighting,6.5,8.77
160000,Government,Fire Alarm,6.5,5.36
178000,Healthcare,Mech. Pipe,6.5,21.93
73370,College / University,Mech. Duct,6.5,18.81
701572,Warehouse / Supermarket,Domestic water,6.5,7.80
68500,School,Mech. Pipe,6.5,8.79
68500,School,Sanitary & Storm,6.5,14.13
68500,School,Domestic water,6.5,10.23
265000,Parking,Fire Alarm,6.5,1.46
46000,Government,Mech. Pipe,6.5,6.82
107000,School,Telecomm,6.5,5.85
43000,Hotel,Mech. Duct,6.5,14.62
103500,Office Building,Power,6.5,10.67
80000,School,Sanitary & Storm,6.5,15.35
470000,Healthcare,Sanitary & Storm,6.5,123.76
470174,School,Domestic water,6.5,42.20
144303,School,Sanitary & Storm,6.5,24.12
36127,Healthcare,Sanitary & Storm,6.5,9.01
36127,Healthcare,Domestic water,6.5,6.82
81544,College / University,Domestic water,6.5,9.74
74467,School,Fire Alarm,6.5,1.95
405802,Residential,Power,6.5,25.34
67000,Healthcare,AV /Wireless,6.5,1.95
296622,Residential,Mech. Duct,6.5,31.53
296622,Residential,Lighting,6.5,13.16
246810,School,Sanitary & Storm,6.5,39.47
65000,College / University,Mech. Pipe,6.5,10.48
104000,College / University,Domestic water,6.5,12.67
74964,School,Domestic water,6.5,10.72
63800,Healthcare,Power,6.5,13.16
26000,School,Sanitary & Storm,6.5,8.28
225647,School,Lighting,6.5,13.64
80000,Other Commercial,Mech. Pipe,6.5,8.28
45000,Other Commercial,Lighting,6.5,4.87
186000,Residential,Domestic water,6.5,21.44
186000,Residential,Lighting,6.5,10.72
186000,Residential,Power,6.5,18.03
38000,Other Commercial,Mech. Duct,6.5,10.72
28301,College / University,Domestic water,6.5,4.09
155150,Residential,Lighting,6.5,9.99
115000,College / University,Mech. Duct,6.5,29.23
115000,College / University,Power,6.5,12.38
199000,Government,Lighting,6.5,15.59
81544,College / University,Lighting,6.5,4.39
99000,School,Medical Gas,6.5,3.90
54000,Industrial,Sanitary & Storm,6.5,7.80
54000,Industrial,Fire Alarm,6.5,1.71
213321,Residential,Domestic water,6.5,22.66
213321,Residential,Lighting,6.5,11.69
100000,School,Domestic water,6.5,12.77
100000,School,Lighting,6.5,7.31
68991,Other Commercial,Mech. Pipe,6.5,8.04
284000,Office Building,Lighting,6.5,8.77
80950,Warehouse / Supermarket,Lighting,6.5,2.92
83300,Healthcare,Mech. Pipe,6.5,11.21
95007,School,Fire Alarm,6.5,2.44
50000,Military,Lighting,6.5,3.90
50000,Military,Power,6.5,10.23
124000,Office Building,Mech. Duct,6.5,15.10
30000,Government,Fire Alarm,6.5,1.46
13000,Government,Lighting,6.5,1.71
46000,Government,Sanitary & Storm,6.5,10.72
46000,Government,Domestic water,6.5,7.80
135963,Industrial,Mech. Duct,6.5,36.06
135963,Industrial,Mech. Pipe,6.5,21.68
135963,Industrial,Domestic water,6.5,17.78
110000,School,Mech. Duct,6.5,23.88
110000,School,Sanitary & Storm,6.5,19.98
495782,Office Building,Sanitary & Storm,6.5,23.14
158000,School,Fire Alarm,6.5,3.90
78000,School,Power,6.5,11.21
85000,Other Educational,Sanitary & Storm,6.5,9.26
29743,Healthcare,Mech. Duct,6.5,7.80
445000,Residential,Lighting,6.5,15.88
130000,Warehouse / Supermarket,Lighting,6.5,2.92
110800,School,Mech. Duct,6.5,23.39
85000,School,Mech. Pipe,6.5,10.23
72000,Warehouse / Supermarket,Domestic water,6.5,6.33
23900,Healthcare,Domestic water,6.5,4.87
23900,Healthcare,Telecomm,6.5,2.44
186000,Office Building,Power,6.5,12.91
536118,Office Building,Sanitary & Storm,6.5,23.88
132677,School,Mech. Pipe,6.5,14.86
308000,School,Mech. Pipe,6.5,29.97
116500,School,Power,6.5,12.67
16000,College / University,AV /Wireless,6.5,0.19
64200,College / University,Mech. Duct,6.5,15.84
64200,College / University,Sanitary & Storm,6.5,12.18
143670,Healthcare,Mech. Pipe,6.5,17.54
108200,School,Sanitary & Storm,6.5,19.25
108200,School,Domestic water,6.5,13.40
108200,School,Telecomm,6.5,5.85
75900,Industrial,Lighting,6.5,4.87
225230,Other Commercial,Domestic water,6.5,20.07
225230,Parking,Lighting,6.5,6.33
225230,Parking,Power,6.5,12.18
842043,Warehouse / Supermarket,Sanitary & Storm,6.5,14.13
842043,Warehouse / Supermarket,Domestic water,6.5,8.38
219939,School,AV /Wireless,6.5,3.90
65000,Healthcare,Mech. Duct,6.5,18.52
40000,Government,Mech. Pipe,6.5,6.33
157512,Military,Lighting,6.5,9.50
75550,Residential,Mech. Duct,6.5,19.49
75550,Residential,Lighting,6.5,8.28
200000,School,Mech. Duct,6.5,33.13
82644,School,Sanitary & Storm,6.5,16.20
33152,Government,Power,6.5,6.82
124000,Residential,Lighting,6.5,9.74
45000,Other Commercial,Lighting,6.5,4.87
201272,Residential,Power,6.5,18.76
135963,Industrial,Mech. Duct,6.5,36.06
135963,Industrial,Mech. Pipe,6.5,21.68
135963,Industrial,Domestic water,6.5,17.78
181000,Healthcare,Medical Gas,6.5,9.74
470000,Healthcare,Sanitary & Storm,6.5,123.76
93744,College / University,Fire Alarm,6.5,2.44
94892,School,Lighting,6.5,7.07
94892,School,Power,6.5,11.69
15000,Other Commercial,Sanitary & Storm,6.5,6.82
15000,Other Commercial,Telecomm,6.5,3.90
23600,School,Lighting,6.5,3.41
87250,Residential,Lighting,6.5,8.77
17800,Government,AV /Wireless,6.5,1.71
124000,School,Mech. Pipe,6.5,13.64
124000,School,Sanitary & Storm,6.5,21.20
91476,Healthcare,Mech. Duct,6.5,27.53
91476,Healthcare,AV /Wireless,6.5,2.92
52143,Residential,Power,6.5,14.13
69500,School,Mech. Pipe,6.5,8.77
85000,Military,Sanitary & Storm,6.5,13.64
48900,College / University,Domestic water,6.5,6.33
121000,School,Sanitary & Storm,6.5,21.44
26110,School,Fire Alarm,7,0.96
233000,Healthcare,Lighting,7,8.66
178000,School,Power,7,17.80
105000,Military,Power,7,13.47
25000,College / University,Sanitary & Storm,7,6.25
106974,School,Lighting,7,8.66
145850,School,Power,7,15.39
184532,Military,Lighting,7,11.93
343900,Healthcare,Telecomm,7,23.09
138309,Healthcare,Medical Gas,7,8.42
23900,Healthcare,Mech. Pipe,7,4.81
23900,Healthcare,Domestic water,7,5.29
1330356,Warehouse / Supermarket,Mech. Duct,7,20.44
95425,School,Sanitary & Storm,7,19.34
276000,Office Building,Telecomm,7,6.73
43000,Hotel,Sanitary & Storm,7,19.24
43000,Hotel,Lighting,7,7.70
450000,School,Lighting,7,27.90
80000,School,Domestic water,7,12.27
122000,Other Commercial,Lighting,7,8.42
73580,School,Sanitary & Storm,7,15.87
470174,School,Mech. Duct,7,69.26
470174,School,Lighting,7,28.86
144303,School,Power,7,15.15
36127,Healthcare,Mech. Pipe,7,6.01
250000,School,Power,7,21.16
74467,School,Mech. Duct,7,20.20
36000,Hotel,Mech. Pipe,7,6.73
26554,School,Fire Alarm,7,0.96
23500,Government,Mech. Duct,7,10.10
222000,Residential,Power,7,20.44
246810,School,Mech. Duct,7,43.29
65000,College / University,Domestic water,7,8.42
92000,Office Building,AV /Wireless,7,2.16
74964,School,Mech. Duct,7,20.68
74964,School,Lighting,7,6.73
74964,School,Telecomm,7,5.77
63800,Healthcare,Lighting,7,6.25
26000,School,Domestic water,7,7.21
26000,School,Fire Alarm,7,0.96
90000,School,Mech. Duct,7,23.09
90000,School,Fire Alarm,7,2.40
23427,Government,Power,7,6.01
225647,School,Mech. Pipe,7,24.05
130000,Hotel,Power,7,13.47
535000,Industrial,Power,7,98.12
186000,Residential,Sanitary & Storm,7,31.75
251000,Office Building,Fire Alarm,7,3.85
155150,Residential,Power,7,18.28
115000,College / University,Mech. Pipe,7,18.76
43100,Military,Domestic water,7,7.21
95000,Government,Mech. Duct,7,16.35
139000,School,Mech. Duct,7,29.34
139000,School,Domestic water,7,17.56
73000,Government,Mech. Duct,7,14.91
225694,Residential,Power,7,20.68
20679,Industrial,Lighting,7,3.13
151600,School,Power,7,16.35
88730,School,Telecomm,7,5.77
213321,Residential,Sanitary & Storm,7,33.67
8248,Government,Power,7,4.33
83300,Healthcare,Lighting,7,6.73
83300,Healthcare,Power,7,15.15
49237,Healthcare,Sanitary & Storm,7,12.99
49237,Healthcare,Lighting,7,6.25
50000,Military,Power,7,10.58
50000,Military,Sanitary & Storm,7,12.02
85400,Residential,Mech. Duct,7,21.89
269961,Residential,Domestic water,7,26.94
269961,Residential,Lighting,7,13.47
269961,Residential,Power,7,22.13
135963,Industrial,Sanitary & Storm,7,25.73
110000,School,Domestic water,7,14.72
110000,School,Power,7,13.95
26661,Warehouse / Supermarket,Power,7,7.46
83774,School,Power,7,12.02
49000,Warehouse / Supermarket,Sanitary & Storm,7,9.50
132000,School,Fire Alarm,7,3.37
132000,School,Telecomm,7,6.73
1100000,Residential,Lighting,7,31.26
445000,Residential,Power,7,29.82
130000,Warehouse / Supermarket,Mech. Pipe,7,8.42
130000,Warehouse / Supermarket,Sanitary & Storm,7,9.86
130000,Warehouse / Supermarket,Power,7,7.94
36699,School,Mech. Duct,7,15.87
85000,School,Mech. Duct,7,21.64
85000,School,Domestic water,7,12.75
536118,Office Building,Domestic water,7,18.04
131794,Government,Mech. Pipe,7,14.43
60391,Military,Mech. Duct,7,15.87
26096,School,Mech. Duct,7,14.91
132677,School,Mech. Duct,7,27.90
132677,School,Fire Alarm,7,3.61
131794,Government,Mech. Pipe,7,14.43
131794,Government,Mech. Pipe,7,14.43
131794,Government,Mech. Pipe,7,14.43
39300,College / University,Lighting,7,3.37
116500,School,Sanitary & Storm,7,21.16
16000,College / University,Mech. Duct,7,5.29
16000,College / University,Sanitary & Storm,7,4.81
222078,Government,Sanitary & Storm,7,22.41
64200,College / University,Power,7,10.39
17300,Government,Domestic water,7,6.49
32000,Government,Sanitary & Storm,7,10.58
20000,School,Mech. Duct,7,13.95
225230,Other Commercial,Lighting,7,12.51
225230,Other Commercial,Power,7,24.05
842043,Office Building,Mech. Pipe,7,27.51
140500,Office Building,Power,7,12.51
16700,Warehouse / Supermarket,Lighting,7,2.89
109500,Government,Domestic water,7,12.51
40000,Government,Mech. Duct,7,11.06
40000,Government,Lighting,7,3.85
201272,Residential,Domestic water,7,23.33
135963,Industrial,Sanitary & Storm,7,25.73
57802,Healthcare,Domestic water,7,11.06
94892,School,Domestic water,7,13.71
50000,Transport,Sanitary & Storm,7,7.94
15000,Other Commercial,Domestic water,7,5.77
15000,Other Commercial,Lighting,7,3.85
42500,School,Mech. Pipe,7,7.21
91476,Healthcare,Mech. Pipe,7,13.23
91476,Healthcare,Sanitary & Storm,7,26.21
91476,Healthcare,Domestic water,7,17.56
52143,Residential,Domestic water,7,14.91
87410,School,Fire Alarm,7,2.40
25000,Government,Telecomm,7,2.40
85000,Military,Domestic water,7,12.51
70000,School,Lighting,7,6.25
114390,Warehouse / Supermarket,Mech. Duct,7.5,12.35
33768,Industrial,Mech. Pipe,7.5,20.89
184532,Military,Mech. Pipe,7.5,20.13
184532,Military,Domestic water,7.5,26.97
161368,Industrial,Medical Gas,7.5,7.60
161368,Industrial,Medical Gas,7.5,7.60
138309,Healthcare,Lighting,7.5,7.48
16800,Healthcare,Mech. Duct,7.5,4.27
40000,Healthcare,Telecomm,7.5,3.80
72000,Other Commercial,Power,7.5,12.82
178000,Healthcare,Medical Gas,7.5,10.68
252000,School,Mech. Duct,7.5,44.63
252000,School,AV /Wireless,7.5,4.75
126673,School,Telecomm,7.5,7.12
106000,College / University,Mech. Duct,7.5,28.96
106000,College / University,Mech. Pipe,7.5,18.28
106000,College / University,Lighting,7.5,5.70
53775,Government,Mech. Duct,7.5,13.77
53775,Government,Sanitary & Storm,7.5,12.58
80000,School,Fire Alarm,7.5,2.37
96000,Healthcare,Mech. Duct,7.5,31.22
73580,School,Mech. Duct,7.5,22.08
470174,School,Power,7.5,36.09
179000,School,Medical Gas,7.5,5.70
405802,Residential,Lighting,7.5,18.04
77557,School,Mech. Pipe,7.5,10.92
246810,School,Mech. Pipe,7.5,27.06
65000,College / University,Mech. Duct,7.5,18.52
345000,Healthcare,Power,7.5,23.50
370000,Hotel,Domestic water,7.5,26.59
104000,College / University,Sanitary & Storm,7.5,20.42
104000,College / University,Lighting,7.5,5.70
10886,Other Commercial,Domestic water,7.5,5.94
25000,College / University,Fire Alarm,7.5,0.95
90000,School,Mech. Pipe,7.5,12.11
90000,School,Power,7.5,13.30
23427,Government,Lighting,7.5,2.85
35000,Healthcare,Domestic water,7.5,7.60
130000,Hotel,Lighting,7.5,10.45
38000,Other Commercial,Mech. Pipe,7.5,8.55
28301,College / University,Sanitary & Storm,7.5,7.12
47000,Healthcare,Medical Gas,7.5,4.75
199000,Government,Telecomm,7.5,14.24
14470,Healthcare,Mech. Pipe,7.5,3.80
110000,College / University,Power,7.5,13.77
18650,Healthcare,Sanitary & Storm,7.5,4.75
95000,Government,Sanitary & Storm,7.5,15.19
108152,School,Power,7.5,14.72
139000,School,Power,7.5,16.62
50000,Warehouse / Supermarket,Mech. Pipe,7.5,8.55
20679,Industrial,Domestic water,7.5,4.75
20679,Industrial,Telecomm,7.5,2.85
213321,Residential,Power,7.5,21.37
80950,Warehouse / Supermarket,Fire Alarm,7.5,1.90
95007,School,Mech. Pipe,7.5,12.82
50000,Military,Domestic water,7.5,8.55
50000,Military,Telecomm,7.5,5.70
520000,Residential,Lighting,7.5,19.94
119336,Warehouse / Supermarket,Mech. Duct,7.5,12.58
119336,Warehouse / Supermarket,Mech. Pipe,7.5,8.55
119336,Warehouse / Supermarket,Domestic water,7.5,7.36
269961,Residential,Sanitary & Storm,7.5,37.99
130150,Industrial,Domestic water,7.5,18.99
135963,Industrial,Lighting,7.5,8.07
110000,School,Lighting,7.5,9.02
158000,School,Mech. Duct,7.5,32.76
78000,School,Lighting,7.5,7.12
78000,School,Telecomm,7.5,6.17
29743,Healthcare,Sanitary & Storm,7.5,8.07
29743,Healthcare,Domestic water,7.5,6.65
1700000,Residential,Lighting,7.5,47.96
130000,Warehouse / Supermarket,Mech. Duct,7.5,12.58
36699,School,Mech. Duct,7.5,17.09
31200,Residential,Mech. Duct,7.5,19.47
85000,School,Lighting,7.5,7.83
85000,School,Power,7.5,12.82
186000,Residential,Lighting,7.5,12.44
308000,School,Mech. Duct,7.5,52.71
116500,School,Lighting,7.5,9.50
208833,Office Building,Telecomm,7.5,6.65
47000,Healthcare,Sanitary & Storm,7.5,13.77
41900,Warehouse / Supermarket,Lighting,7.5,3.09
20000,Residential,AV /Wireless,7.5,3.32
61800,Other Commercial,Mech. Duct,7.5,13.77
16700,Warehouse / Supermarket,Fire Alarm,7.5,1.90
157512,Military,Mech. Pipe,7.5,17.57
157512,Military,Domestic water,7.5,22.32
157512,Military,Telecomm,7.5,12.82
201272,Residential,Sanitary & Storm,7.5,35.14
201272,Residential,Lighting,7.5,12.82
135963,Industrial,Lighting,7.5,8.07
55806,Warehouse / Supermarket,Domestic water,7.5,7.12
57802,Healthcare,Sanitary & Storm,7.5,16.62
94892,School,Sanitary & Storm,7.5,19.71
79700,Industrial,Mech. Duct,7.5,29.91
79700,Industrial,Mech. Pipe,7.5,23.03
13761,Government,Lighting,7.5,1.90
23600,School,Fire Alarm,7.5,0.95
69500,School,Lighting,7.5,6.65
85000,Military,Mech. Pipe,7.5,10.45
60827,School,Mech. Pipe,7.5,9.50
121000,School,Mech. Duct,7.5,28.01
33768,Industrial,Sanitary & Storm,8,4.22
28321,Transport,Sanitary & Storm,8,6.09
184532,Military,Sanitary & Storm,8,26.81
184532,Military,Power,8,19.69
161368,Industrial,Telecomm,8,10.31
161368,Industrial,Telecomm,8,10.31
138309,Healthcare,Mech. Pipe,8,21.33
160000,Government,AV /Wireless,8,4.69
73370,College / University,Mech. Pipe,8,13.59
14520,College / University,Mech. Pipe,8,3.75
95425,School,Mech. Pipe,8,13.83
145925,Parking,Power,8,14.06
107000,School,Fire Alarm,8,3.28
106000,College / University,Sanitary & Storm,8,22.50
53775,Government,Power,8,11.48
103500,Office Building,Mech. Duct,8,17.11
9500,College / University,Mech. Pipe,8,2.81
9500,College / University,Domestic water,8,2.58
73580,School,Domestic water,8,12.66
73580,School,Telecomm,8,6.56
61000,School,Power,8,12.42
144303,School,Telecomm,8,8.27
36127,Healthcare,Mech. Duct,8,12.19
74467,School,Power,8,13.12
179000,School,Lighting,8,14.06
77557,School,Sanitary & Storm,8,17.81
77557,School,Power,8,13.12
77557,School,Telecomm,8,6.56
60252,Office Building,Fire Alarm,8,3.28
23500,Government,Domestic water,8,7.50
246810,School,Fire Alarm,8,7.03
370000,Hotel,Sanitary & Storm,8,39.37
104000,College / University,Telecomm,8,5.62
23427,Government,AV /Wireless,8,2.11
242456,School,Power,8,22.97
225647,School,Mech. Duct,8,45.23
35000,Healthcare,Sanitary & Storm,8,10.31
35000,Healthcare,Fire Alarm,8,1.87
60183,College / University,Lighting,8,4.69
45000,Other Commercial,Telecomm,8,5.16
25878,Government,Telecomm,8,2.81
130500,Warehouse / Supermarket,Sanitary & Storm,8,10.78
130500,Warehouse / Supermarket,Power,8,8.44
36000,Residential,Mech. Duct,8,20.16
251000,Office Building,Telecomm,8,7.41
150000,Healthcare,Lighting,8,8.44
376197,Industrial,Sanitary & Storm,8,84.84
376197,Industrial,Domestic water,8,52.03
43100,Military,Mech. Duct,8,12.19
108152,School,Sanitary & Storm,8,22.50
20500,Other Commercial,Fire Alarm,8,0.70
151600,School,Telecomm,8,7.97
183000,School,Power,8,19.69
22100,Hotel,Mech. Pipe,8,5.39
284000,Office Building,Power,8,17.81
284000,Office Building,Telecomm,8,7.50
28500,Industrial,Fire Alarm,8,1.87
50000,Military,Sanitary & Storm,8,13.12
50000,Military,Domestic water,8,9.37
22000,School,Mech. Duct,8,15.94
119336,Warehouse / Supermarket,Lighting,8,3.52
46000,Government,Fire Alarm,8,2.34
78800,College / University,Mech. Duct,8,23.91
269961,Residential,Mech. Pipe,8,22.50
135963,Industrial,Fire Alarm,8,3.05
495782,Office Building,Domestic water,8,20.16
132000,School,Power,8,16.87
115000,School,Fire Alarm,8,3.52
77905,Healthcare,Power,8,16.17
14500,Government,Power,8,5.62
23900,Healthcare,Mech. Duct,8,7.50
39971,Healthcare,Domestic water,8,8.91
60391,Military,Sanitary & Storm,8,14.88
60391,Military,Power,8,13.12
308000,School,AV /Wireless,8,5.86
116500,School,Telecomm,8,7.50
313360,Office Building,Mech. Pipe,8,17.06
81900,School,Mech. Duct,8,24.61
81900,School,Power,8,13.59
35000,Government,Mech. Duct,8,12.19
35000,Government,Lighting,8,3.98
159906,Other Commercial,Fire Alarm,8,2.81
75900,Industrial,Power,8,15.94
48169,Healthcare,Mech. Duct,8,15.94
74505,Residential,Power,8,16.87
61465,Government,Domestic water,8,10.78
45000,Other Commercial,Telecomm,8,5.16
182000,College / University,Lighting,8,8.91
135963,Industrial,Fire Alarm,8,3.05
55806,Warehouse / Supermarket,Mech. Duct,8,13.12
57802,Healthcare,Mech. Duct,8,19.69
94892,School,Mech. Duct,8,26.25
363424,Residential,Lighting,8,16.92
363424,Residential,Power,8,29.30
134972,College / University,Power,8,16.87
85000,Military,Power,8,14.06
48900,College / University,Sanitary & Storm,8,11.72
179833,Government,Mech. Duct,8,28.59
53830,Transport,Power,8.5,8.56
178000,School,Mech. Duct,8.5,39.79
184532,Military,Fire Alarm,8.5,14.25
138309,Healthcare,Power,8.5,19.20
23900,Healthcare,Fire Alarm,8.5,1.85
72000,Other Commercial,Mech. Duct,8.5,16.66
252000,School,Power,8.5,24.99
246096,School,Lighting,8.5,19.67
264085,Residential,Lighting,8.5,15.36
66000,Industrial,Sanitary & Storm,8.5,12.49
144303,School,Domestic water,8.5,20.82
57630,Warehouse / Supermarket,Power,8.5,8.79
74467,School,Domestic water,8.5,13.88
60252,Office Building,Mech. Duct,8.5,17.58
60252,Office Building,Mech. Pipe,8.5,10.18
60252,Office Building,Sanitary & Storm,8.5,14.34
60252,Office Building,Power,8.5,12.49
222000,Residential,Sanitary & Storm,8.5,39.10
246810,School,Domestic water,8.5,31.93
246810,School,Power,8.5,24.99
104000,College / University,Mech. Pipe,8.5,19.90
104000,College / University,Power,8.5,15.27
10886,Other Commercial,Lighting,8.5,4.40
62000,Government,Domestic water,8.5,11.11
45000,Other Commercial,Domestic water,8.5,9.25
15552,Healthcare,Domestic water,8.5,4.63
251000,Office Building,Power,8.5,18.05
222000,Parking,Fire Alarm,8.5,1.76
47000,Healthcare,Lighting,8.5,7.40
115000,College / University,Lighting,8.5,6.71
199000,Government,AV /Wireless,8.5,5.55
43100,Military,Mech. Pipe,8.5,8.33
108152,School,Telecomm,8.5,7.40
81544,College / University,Telecomm,8.5,5.55
30632,Other Educational,Domestic water,8.5,9.25
400000,Hotel,Power,8.5,36.09
213321,Residential,Mech. Duct,8.5,34.47
64105,Residential,Mech. Pipe,8.5,10.18
28500,Industrial,Telecomm,8.5,3.70
80950,Warehouse / Supermarket,Mech. Pipe,8.5,9.72
114000,Office Building,Sanitary & Storm,8.5,16.66
124000,Office Building,Sanitary & Storm,8.5,16.94
22000,School,Sanitary & Storm,8.5,9.72
78800,College / University,Domestic water,8.5,12.03
269961,Residential,Mech. Duct,8.5,38.87
110000,School,Mech. Pipe,8.5,16.20
83774,School,Fire Alarm,8.5,2.78
1100000,Residential,Fire Alarm,8.5,43.50
300000,Residential,Telecomm,8.5,9.72
85000,School,Sanitary & Storm,8.5,20.13
14500,Government,Lighting,8.5,2.31
14500,Government,Telecomm,8.5,2.08
14500,Government,AV /Wireless,8.5,2.08
23900,Healthcare,Fire Alarm,8.5,1.85
39300,College / University,Power,8.5,11.57
313360,Office Building,Mech. Duct,8.5,21.75
81900,School,Domestic water,8.5,14.34
81900,School,Fire Alarm,8.5,2.78
100000,School,Domestic water,8.5,17.00
32000,Government,Domestic water,8.5,8.79
124000,School,Mech. Duct,8.5,31.00
74505,Residential,Mech. Pipe,8.5,10.87
18878,Healthcare,Mech. Pipe,8.5,5.09
242089,Residential,AV /Wireless,8.5,5.55
45131,Healthcare,Domestic water,8.5,11.11
33152,Government,Lighting,8.5,4.16
146000,Healthcare,Power,8.5,20.36
45000,Other Commercial,Domestic water,8.5,9.25
35000,Government,Fire Alarm,8.5,2.08
363424,Residential,Telecomm,8.5,9.25
134972,College / University,Lighting,8.5,7.87
52143,Residential,Sanitary & Storm,8.5,27.30
6000,Industrial,Power,8.5,2.31
105000,Military,Lighting,9,8.91
184532,Military,Telecomm,9,17.36
72000,Other Commercial,Sanitary & Storm,9,20.55
160000,Government,Power,9,29.23
106000,College / University,Domestic water,9,17.36
450000,School,Fire Alarm,9,13.70
103500,Office Building,Fire Alarm,9,4.11
103500,Office Building,Telecomm,9,7.31
184374,College / University,Power,9,21.93
73580,School,Power,9,15.07
144303,School,Lighting,9,13.25
36127,Healthcare,Medical Gas,9,5.48
74467,School,Mech. Pipe,9,12.79
115000,School,Sanitary & Storm,9,27.41
23500,Government,Sanitary & Storm,9,13.25
222000,Residential,Domestic water,9,31.52
246810,School,AV /Wireless,9,5.48
141936,School,Telecomm,9,9.14
62000,Government,Mech. Pipe,9,10.96
60183,College / University,AV /Wireless,9,2.28
260000,Industrial,Mech. Pipe,9,35.17
45000,Other Commercial,Mech. Duct,9,15.53
45000,Other Commercial,Sanitary & Storm,9,15.07
130500,Warehouse / Supermarket,Mech. Duct,9,15.07
130500,Warehouse / Supermarket,Mech. Pipe,9,10.51
130500,Warehouse / Supermarket,Domestic water,9,8.68
251000,Office Building,Lighting,9,10.96
155150,Residential,Telecomm,9,9.59
199000,Government,Power,9,34.72
139000,School,Mech. Pipe,9,20.10
139000,School,Sanitary & Storm,9,32.43
81544,College / University,Fire Alarm,9,2.74
73000,Government,Mech. Pipe,9,12.33
73000,Government,Domestic water,9,12.33
30632,Other Educational,Sanitary & Storm,9,13.70
213321,Residential,Telecomm,9,9.82
114000,Office Building,Lighting,9,9.14
22000,School,Domestic water,9,9.14
145000,School,Lighting,9,13.70
46000,Government,AV /Wireless,9,2.74
49000,Warehouse / Supermarket,Mech. Pipe,9,10.05
132000,School,Mech. Pipe,9,19.18
445000,Residential,Fire Alarm,9,16.44
79000,Government,Sanitary & Storm,9,16.67
36699,School,Sanitary & Storm,9,12.79
120000,College / University,Telecomm,9,6.85
39971,Healthcare,Mech. Duct,9,15.30
308000,School,Sanitary & Storm,9,61.66
308000,School,Domestic water,9,39.40
308000,School,Power,9,32.20
81900,School,Sanitary & Storm,9,20.55
17300,Government,Lighting,9,2.74
115000,School,Sanitary & Storm,9,26.95
75900,Industrial,Telecomm,9,6.85
61800,Other Commercial,Mech. Pipe,9,10.51
140500,Office Building,Mech. Pipe,9,13.70
48169,Healthcare,Sanitary & Storm,9,16.44
18878,Healthcare,Domestic water,9,5.48
33152,Government,Telecomm,9,3.65
45000,Other Commercial,Sanitary & Storm,9,15.07
35000,Government,Power,9,9.36
55806,Warehouse / Supermarket,Mech. Pipe,9,10.51
342000,School,Sanitary & Storm,9,68.52
60000,Healthcare,Telecomm,9,6.39
134972,College / University,Telecomm,9,7.31
52143,Residential,Mech. Duct,9,24.67
48900,College / University,Mech. Duct,9,17.36
262000,Warehouse / Supermarket,Mech. Pipe,9.5,11.27
17500,College / University,Fire Alarm,9.5,0.90
23900,Healthcare,Mech. Duct,9.5,8.57
72000,Other Commercial,Domestic water,9.5,12.85
106000,College / University,Power,9.5,17.13
61000,School,Lighting,9.5,7.89
144303,School,Mech. Duct,9.5,39.23
81544,College / University,Lighting,9.5,6.54
405802,Residential,Telecomm,9.5,10.82
115000,School,Mech. Duct,9.5,34.72
345000,Healthcare,Lighting,9.5,13.98
8000,Industrial,Lighting,9.5,3.61
196000,Healthcare,Lighting,9.5,11.05
196000,Healthcare,Power,9.5,25.48
25000,College / University,AV /Wireless,9.5,0.72
225647,School,Domestic water,9.5,33.59
35000,Healthcare,Telecomm,9.5,4.51
60183,College / University,Mech. Duct,9.5,23.00
60183,College / University,Sanitary & Storm,9.5,16.68
45000,Other Commercial,Power,9.5,13.53
15552,Healthcare,Sanitary & Storm,9.5,4.96
14470,Healthcare,Mech. Duct,9.5,4.51
18650,Healthcare,Mech. Pipe,9.5,5.41
139000,School,Telecomm,9.5,9.47
73000,Government,Sanitary & Storm,9.5,17.59
50000,Warehouse / Supermarket,Sanitary & Storm,9.5,12.63
30632,Other Educational,Lighting,9.5,5.41
400000,Hotel,Lighting,9.5,22.55
80950,Warehouse / Supermarket,Telecomm,9.5,4.51
158000,School,Medical Gas,9.5,7.21
